,ideal_overflow,ideal_overflow_multiplier,loop_range
0,265665118208,549972,"(500000, 999999)"
1,531330236416,1099944,"(1000000, 1499999)"
2,730579075072,1512423,"(1500000, 1999999)"
3,996244193280,2062395,"(2000000, 2499999)"
4,1261909311488,2612367,"(2500000, 2999999)"
5,1461158150144,3024846,"(3000000, 3499999)"
6,1726823268352,3574818,"(3500000, 3999999)"
7,1992488386560,4124790,"(4000000, 4499999)"
8,2191737225216,4537269,"(4500000, 4999999)"
9,2457402343424,5087241,"(5000000, 5499999)"
10,2723067461632,5637213,"(5500000, 5999999)"
11,2922316300288,6049692,"(6000000, 6499999)"
12,3187981418496,6599664,"(6500000, 6999999)"
13,3387230257152,7012143,"(7000000, 7499999)"
14,3652895375360,7562115,"(7500000, 7999999)"
15,3918560493568,8112087,"(8000000, 8499999)"
16,4117809332224,8524566,"(8500000, 8999999)"
17,4383474450432,9074538,"(9000000, 9499999)"
18,4649139568640,9624510,"(9500000, 9999999)"
19,4848388407296,10036989,"(10000000, 10499999)"
20,5114053525504,10586961,"(10500000, 10999999)"
21,5379718643712,11136933,"(11000000, 11499999)"
22,5578967482368,11549412,"(11500000, 11999999)"
23,5844632600576,12099384,"(12000000, 12499999)"
24,6043881439232,12511863,"(12500000, 12999999)"
25,6309546557440,13061835,"(13000000, 13499999)"
26,6575211675648,13611807,"(13500000, 13999999)"
27,6774460514304,14024286,"(14000000, 14499999)"
28,7040125632512,14574258,"(14500000, 14999999)"
29,8764260352,15074693,"(15000000, 15499999)"
30,274429378560,15624665,"(15500000, 15999999)"
31,473678217216,16037144,"(16000000, 16499999)"
32,739343335424,16587116,"(16500000, 16999999)"
33,1005008453632,17137088,"(17000000, 17499999)"
34,1204257292288,17549567,"(17500000, 17999999)"
35,1469922410496,18099539,"(18000000, 18499999)"
36,1669171249152,18512018,"(18500000, 18999999)"
37,1934836367360,19061990,"(19000000, 19499999)"
38,2200501485568,19611962,"(19500000, 19999999)"
39,2399750324224,20024441,"(20000000, 20499999)"
40,2665415442432,20574413,"(20500000, 20999999)"
41,2931080560640,21124385,"(21000000, 21499999)"
42,3130329399296,21536864,"(21500000, 21999999)"
43,3395994517504,22086836,"(22000000, 22499999)"
44,3661659635712,22636808,"(22500000, 22999999)"
45,3860908474368,23049287,"(23000000, 23499999)"
46,4126573592576,23599259,"(23500000, 23999999)"
47,4325822431232,24011738,"(24000000, 24499999)"
48,4591487549440,24561710,"(24500000, 24999999)"
49,4857152667648,25111682,"(25000000, 25499999)"
50,5056401506304,25524161,"(25500000, 25999999)"
51,5322066624512,26074133,"(26000000, 26499999)"
52,5587731742720,26624105,"(26500000, 26999999)"
53,5786980581376,27036584,"(27000000, 27499999)"
54,6052645699584,27586556,"(27500000, 27999999)"
55,6318310817792,28136528,"(28000000, 28499999)"
56,6517559656448,28549007,"(28500000, 28999999)"
57,6783224774656,29098979,"(29000000, 29499999)"
58,6982473613312,29511458,"(29500000, 29999999)"
59,17528520704,30149386,"(30000000, 30499999)"
60,216777359360,30561865,"(30500000, 30999999)"
61,482442477568,31111837,"(31000000, 31499999)"
62,681691316224,31524316,"(31500000, 31999999)"
63,947356434432,32074288,"(32000000, 32499999)"
64,1213021552640,32624260,"(32500000, 32999999)"
65,1412270391296,33036739,"(33000000, 33499999)"
66,1677935509504,33586711,"(33500000, 33999999)"
67,1943600627712,34136683,"(34000000, 34499999)"
68,2142849466368,34549162,"(34500000, 34999999)"
69,2408514584576,35099134,"(35000000, 35499999)"
70,2607763423232,35511613,"(35500000, 35999999)"
71,2873428541440,36061585,"(36000000, 36499999)"
72,3139093659648,36611557,"(36500000, 36999999)"
73,3338342498304,37024036,"(37000000, 37499999)"
74,3604007616512,37574008,"(37500000, 37999999)"
75,3869672734720,38123980,"(38000000, 38499999)"
76,4068921573376,38536459,"(38500000, 38999999)"
77,4334586691584,39086431,"(39000000, 39499999)"
78,4600251809792,39636403,"(39500000, 39999999)"
79,4799500648448,40048882,"(40000000, 40499999)"
80,5065165766656,40598854,"(40500000, 40999999)"
81,5264414605312,41011333,"(41000000, 41499999)"
82,5530079723520,41561305,"(41500000, 41999999)"
83,5795744841728,42111277,"(42000000, 42499999)"
84,5994993680384,42523756,"(42500000, 42999999)"
85,6260658798592,43073728,"(43000000, 43499999)"
86,6526323916800,43623700,"(43500000, 43999999)"
87,6725572755456,44036179,"(44000000, 44499999)"
88,6991237873664,44586151,"(44500000, 44999999)"
89,26292781056,45224079,"(45000000, 45499999)"
90,225541619712,45636558,"(45500000, 45999999)"
91,424790458368,46049037,"(46000000, 46499999)"
92,690455576576,46599009,"(46500000, 46999999)"
93,889704415232,47011488,"(47000000, 47499999)"
94,1155369533440,47561460,"(47500000, 47999999)"
95,1421034651648,48111432,"(48000000, 48499999)"
96,1620283490304,48523911,"(48500000, 48999999)"
97,1885948608512,49073883,"(49000000, 49499999)"
98,2151613726720,49623855,"(49500000, 49999999)"
99,2350862565376,50036334,"(50000000, 50499999)"
100,2616527683584,50586306,"(50500000, 50999999)"
101,2882192801792,51136278,"(51000000, 51499999)"
102,3081441640448,51548757,"(51500000, 51999999)"
103,3347106758656,52098729,"(52000000, 52499999)"
104,3546355597312,52511208,"(52500000, 52999999)"
105,3812020715520,53061180,"(53000000, 53499999)"
106,4077685833728,53611152,"(53500000, 53999999)"
107,4276934672384,54023631,"(54000000, 54499999)"
108,4542599790592,54573603,"(54500000, 54999999)"
109,4808264908800,55123575,"(55000000, 55499999)"
110,5007513747456,55536054,"(55500000, 55999999)"
111,5273178865664,56086026,"(56000000, 56499999)"
112,5538843983872,56635998,"(56500000, 56999999)"
113,5738092822528,57048477,"(57000000, 57499999)"
114,6003757940736,57598449,"(57500000, 57999999)"
115,6203006779392,58010928,"(58000000, 58499999)"
116,6468671897600,58560900,"(58500000, 58999999)"
117,6734337015808,59110872,"(59000000, 59499999)"
118,6933585854464,59523351,"(59500000, 59999999)"
119,35057041408,60298772,"(60000000, 60499999)"
120,167889600512,60573758,"(60500000, 60999999)"
121,433554718720,61123730,"(61000000, 61499999)"
122,632803557376,61536209,"(61500000, 61999999)"
123,898468675584,62086181,"(62000000, 62499999)"
124,1164133793792,62636153,"(62500000, 62999999)"
125,1363382632448,63048632,"(63000000, 63499999)"
126,1629047750656,63598604,"(63500000, 63999999)"
127,1828296589312,64011083,"(64000000, 64499999)"
128,2093961707520,64561055,"(64500000, 64999999)"
129,2359626825728,65111027,"(65000000, 65499999)"
130,2558875664384,65523506,"(65500000, 65999999)"
131,2824540782592,66073478,"(66000000, 66499999)"
132,3090205900800,66623450,"(66500000, 66999999)"
133,3289454739456,67035929,"(67000000, 67499999)"
134,3555119857664,67585901,"(67500000, 67999999)"
135,3820784975872,68135873,"(68000000, 68499999)"
136,4020033814528,68548352,"(68500000, 68999999)"
137,4285698932736,69098324,"(69000000, 69499999)"
138,4484947771392,69510803,"(69500000, 69999999)"
139,4750612889600,70060775,"(70000000, 70499999)"
140,5016278007808,70610747,"(70500000, 70999999)"
141,5215526846464,71023226,"(71000000, 71499999)"
142,5481191964672,71573198,"(71500000, 71999999)"
143,5746857082880,72123170,"(72000000, 72499999)"
144,5946105921536,72535649,"(72500000, 72999999)"
145,6211771039744,73085621,"(73000000, 73499999)"
146,6477436157952,73635593,"(73500000, 73999999)"
147,6676684996608,74048072,"(74000000, 74499999)"
148,6942350114816,74598044,"(74500000, 74999999)"
149,43821301760,75373465,"(75000000, 75499999)"
150,110237581312,75510958,"(75500000, 75999999)"
151,375902699520,76060930,"(76000000, 76499999)"
152,641567817728,76610902,"(76500000, 76999999)"
153,840816656384,77023381,"(77000000, 77499999)"
154,1106481774592,77573353,"(77500000, 77999999)"
155,1372146892800,78123325,"(78000000, 78499999)"
156,1571395731456,78535804,"(78500000, 78999999)"
157,1837060849664,79085776,"(79000000, 79499999)"
158,2102725967872,79635748,"(79500000, 79999999)"
159,2301974806528,80048227,"(80000000, 80499999)"
160,2567639924736,80598199,"(80500000, 80999999)"
161,2766888763392,81010678,"(81000000, 81499999)"
162,3032553881600,81560650,"(81500000, 81999999)"
163,3298218999808,82110622,"(82000000, 82499999)"
164,3497467838464,82523101,"(82500000, 82999999)"
165,3763132956672,83073073,"(83000000, 83499999)"
166,4028798074880,83623045,"(83500000, 83999999)"
167,4228046913536,84035524,"(84000000, 84499999)"
168,4493712031744,84585496,"(84500000, 84999999)"
169,4759377149952,85135468,"(85000000, 85499999)"
170,4958625988608,85547947,"(85500000, 85999999)"
171,5224291106816,86097919,"(86000000, 86499999)"
172,5423539945472,86510398,"(86500000, 86999999)"
173,5689205063680,87060370,"(87000000, 87499999)"
174,5954870181888,87610342,"(87500000, 87999999)"
175,6154119020544,88022821,"(88000000, 88499999)"
176,6419784138752,88572793,"(88500000, 88999999)"
177,6685449256960,89122765,"(89000000, 89499999)"
178,6884698095616,89535244,"(89500000, 89999999)"
179,52585562112,90448158,"(90000000, 90499999)"
180,119001841664,90585651,"(90500000, 90999999)"
181,384666959872,91135623,"(91000000, 91499999)"
182,583915798528,91548102,"(91500000, 91999999)"
183,849580916736,92098074,"(92000000, 92499999)"
184,1048829755392,92510553,"(92500000, 92999999)"
185,1314494873600,93060525,"(93000000, 93499999)"
186,1580159991808,93610497,"(93500000, 93999999)"
187,1779408830464,94022976,"(94000000, 94499999)"
188,2045073948672,94572948,"(94500000, 94999999)"
189,2310739066880,95122920,"(95000000, 95499999)"
190,2509987905536,95535399,"(95500000, 95999999)"
191,2775653023744,96085371,"(96000000, 96499999)"
192,3041318141952,96635343,"(96500000, 96999999)"
193,3240566980608,97047822,"(97000000, 97499999)"
194,3506232098816,97597794,"(97500000, 97999999)"
195,3705480937472,98010273,"(98000000, 98499999)"
196,3971146055680,98560245,"(98500000, 98999999)"
197,4236811173888,99110217,"(99000000, 99499999)"
198,4436060012544,99522696,"(99500000, 99999999)"
